content_category,author_type,count
benchmark_claim,unknown,65
benchmark_claim,company,3
benchmark_claim,creator_blogger,2
benchmark_claim,developer,2
claude_code_agentic,unknown,410
claude_code_agentic,creator_blogger,59
claude_code_agentic,developer,40
claude_code_agentic,company,8
comparison_vs_chatgpt,unknown,255
comparison_vs_chatgpt,creator_blogger,9
comparison_vs_chatgpt,developer,7
creator_demo,unknown,27
creator_demo,creator_blogger,1
earn_money_business,unknown,12
experience_story,unknown,6
experience_story,creator_blogger,1
meme_humor,unknown,58
meme_humor,company,3
meme_humor,developer,3
meme_humor,creator_blogger,2
news_announcement,unknown,56
news_announcement,creator_blogger,3
news_announcement,developer,3
news_announcement,company,1
opinion_discussion,unknown,12
opinion_discussion,company,2
other,unknown,533
other,creator_blogger,13
other,developer,11
other,company,8
other,media,1
product_review,unknown,40
product_review,creator_blogger,2
product_review,developer,1
prompt_engineering,unknown,13
prompt_engineering,company,3
prompt_engineering,developer,1
safety_controversy,unknown,1
tool_comparison,unknown,17
tutorial_how_to,unknown,119
tutorial_how_to,creator_blogger,58
tutorial_how_to,developer,7
tutorial_how_to,company,2
workflow_use_case,unknown,26
workflow_use_case,developer,2
workflow_use_case,company,1
