content_category,post_count,total_engagement,median_engagement,mean_engagement,median_eng_rate_tier1,top_platform
meme_humor,99,4177645,583.0,42198.43434343435,0.017937500000000002,youtube
experience_story,9,18907,567.0,2100.777777777778,0.025365,youtube
tutorial_how_to,214,492676,522.5,2302.2242990654204,0.023028,youtube
creator_demo,41,187760,217.0,4579.512195121952,0.020056,youtube
tool_comparison,18,12109,197.5,672.7222222222222,0.016842,youtube
comparison_vs_chatgpt,276,811333,170.0,2939.6123188405795,0.021542,youtube
claude_code_agentic,860,1304343,135.5,1516.6779069767442,0.023211,youtube
earn_money_business,16,6156,50.0,384.75,0.0176425,youtube
benchmark_claim,79,32115,11.0,406.5189873417722,0.021576,youtube
other,1084,10914412,5.0,10068.645756457565,0.020173,x
news_announcement,103,587434,4.0,5703.242718446602,0.0239645,youtube
opinion_discussion,31,43805,3.0,1413.0645161290322,0.011432000000000001,x
product_review,125,40280,2.0,322.24,0.015608,x
workflow_use_case,78,85487,2.0,1095.9871794871794,0.0204265,x
prompt_engineering,70,50735,1.0,724.7857142857143,0.018865,x
safety_controversy,9,148,0.0,16.444444444444443,0.0,x
