phase,content_category,count,pct
Pre-Launch,claude_code_agentic,91,52.0
Pre-Launch,claude_features,28,16.0
Pre-Launch,comparison_vs_chatgpt,20,11.4
Pre-Launch,other,15,8.6
Pre-Launch,tutorial_how_to,6,3.4
Pre-Launch,switching_to_claude,3,1.7
Pre-Launch,news_announcement,2,1.1
Pre-Launch,off_topic,2,1.1
Pre-Launch,prompt_engineering,2,1.1
Pre-Launch,benchmark_claim,1,0.6
Pre-Launch,creator_demo,1,0.6
Pre-Launch,opinion_discussion,1,0.6
Pre-Launch,product_review,1,0.6
Pre-Launch,safety_controversy,1,0.6
Pre-Launch,workflow_use_case,1,0.6
Launch Spike,claude_features,20,38.5
Launch Spike,claude_code_agentic,16,30.8
Launch Spike,other,10,19.2
Launch Spike,comparison_vs_chatgpt,3,5.8
Launch Spike,creator_demo,1,1.9
Launch Spike,earn_money_business,1,1.9
Launch Spike,tutorial_how_to,1,1.9
Amplification,claude_code_agentic,38,35.2
Amplification,claude_features,23,21.3
Amplification,comparison_vs_chatgpt,14,13.0
Amplification,other,10,9.3
Amplification,tutorial_how_to,9,8.3
Amplification,news_announcement,4,3.7
Amplification,creator_demo,2,1.9
Amplification,off_topic,2,1.9
Amplification,product_review,2,1.9
Amplification,benchmark_claim,1,0.9
Amplification,meme_humor,1,0.9
Amplification,switching_to_claude,1,0.9
Amplification,workflow_use_case,1,0.9
Sustained,claude_code_agentic,262,37.8
Sustained,claude_features,115,16.6
Sustained,other,95,13.7
Sustained,comparison_vs_chatgpt,71,10.2
Sustained,tutorial_how_to,60,8.7
Sustained,news_announcement,18,2.6
Sustained,switching_to_claude,17,2.5
Sustained,benchmark_claim,10,1.4
Sustained,workflow_use_case,9,1.3
Sustained,product_review,8,1.2
Sustained,meme_humor,6,0.9
Sustained,opinion_discussion,5,0.7
Sustained,creator_demo,4,0.6
Sustained,earn_money_business,3,0.4
Sustained,prompt_engineering,3,0.4
Sustained,tool_comparison,3,0.4
Sustained,experience_story,2,0.3
Sustained,off_topic,2,0.3
