source_platform,author_handle,title,text_snippet,published_at,days,phase,views,likes,engagement,content_category,author_type,url
youtube,Nick Saraev,CLAUDE CODE FULL COURSE 4 HOURS: Build &amp; Sell (2026),Join Maker School & get customer #1 guaranteed: https://skool.com/makerschool/about All course files: ...,2026-02-12T17:14:59Z,7.0,Amplification,1031016.0,33332,34631,claude_code_agentic,developer,https://www.youtube.com/watch?v=QoQBzR1NIqI
youtube,The PrimeTime,SAME DAY: Opus 4.6 AND Chat GPT 5.3!,oh you want real coffee? ssh terminal.shop oh you dont know how to ssh or use the terminal? well... then this coffee isn,2026-02-06T12:49:56Z,1.0,Launch Spike,412258.0,12346,13151,tutorial_how_to,unknown,https://www.youtube.com/watch?v=wN13YeqEaqk
youtube,AI News & Strategy Daily | Nate B Jones,Claude Opus 4.6: The Biggest AI Jump I&#39;ve Covered--It&#39;s Not Close. (Here&#39;s What You Need to Know),My site: https://natebjones.com Full Story w/ Prompts: ...,2026-02-11T15:31:12Z,6.0,Amplification,361042.0,11412,13139,claude_features,creator_blogger,https://www.youtube.com/watch?v=JKk77rzOL34
youtube,Eliot Prince,Claude COWORK Clearly Explained (&amp; how to use it for beginners),Claude Cowork Tutorial for Beginners. Grab the full walkthrough inside my AI Recipe Vault: https://eliotprince.com/ai-re,2026-02-16T17:18:45Z,11.0,Amplification,834484.0,10952,11299,claude_features,creator_blogger,https://www.youtube.com/watch?v=ZeWfksNXlbU
youtube,Lenny's Podcast,Head of Claude Code: What happens after coding is solved | Boris Cherny,Boris Cherny is the creator and head of Claude Code at Anthropic. What began as a simple terminal-based prototype just a,2026-02-19T13:30:28Z,14.0,Amplification,444891.0,8671,9808,claude_code_agentic,unknown,https://www.youtube.com/watch?v=We7BZVKbCVw
youtube,mxks,ChatGPT vs Gemini 3 vs Claude Make PSYCHOLOGICAL HORROR From Scratch,Today I challenged ChatGPT vs Gemini 3 vs Claude To Make a Psychological Horror Game From Scratch... check out how it ..,2026-02-11T16:19:28Z,6.0,Amplification,270865.0,8810,9284,comparison_vs_chatgpt,unknown,https://www.youtube.com/watch?v=r5dINtdSmLY
youtube,Greg Isenberg,Claude Code Clearly Explained,"In this episode, I sit down with Professor Ras Mic for a beginner-friendly crash course on using Claude Code (and AI cod",2026-02-10T16:02:55Z,5.0,Amplification,217893.0,9038,9086,claude_code_agentic,unknown,https://www.youtube.com/watch?v=5G9PAIUs5Pk
youtube,John Kim,How I use Claude Code (Meta Staff Engineer Tips),This is my 50 Claude Code tips from 6 months of daily use personally and at Meta as a Staff Software Engineer. I've been,2026-02-07T16:41:09Z,2.0,Launch Spike,353244.0,8583,8985,claude_code_agentic,developer,https://www.youtube.com/watch?v=mZzhfPle9QU
youtube,Crazy Cat,ChatGPT vs Claude Make Sol’s RNG,Join the Discord: https://discord.gg/vcapm7akaZ.,2026-02-04T15:01:23Z,-1.0,Pre-Launch,424356.0,8237,8713,comparison_vs_chatgpt,unknown,https://www.youtube.com/watch?v=iQim2qJRpho
youtube,Nate Herk | AI Automation,Building Beautiful Websites with Claude Code Is Too Easy,Full courses + unlimited support: https://www.skool.com/ai-automation-society-plus/about All my FREE resources: ...,2026-02-19T13:32:53Z,14.0,Amplification,274050.0,8160,8473,claude_code_agentic,creator_blogger,https://www.youtube.com/watch?v=86HM0RUWhCk
