days,posts,total_eng,median_eng
-30.0,1,240593,240593.0
-27.0,1,12499,12499.0
-24.0,1,86,86.0
-16.0,1,16,16.0
-15.0,1,2,2.0
-11.0,1,65,65.0
-6.0,2,55567,27783.5
0.0,1,597,597.0
1.0,5,7955,0.0
2.0,4,19497,822.0
3.0,2,2633,1316.5
4.0,2,1409,704.5
5.0,2,46,23.0
6.0,2,90,45.0
7.0,1,106,106.0
8.0,2,3022,1511.0
9.0,1,7788,7788.0
10.0,1,57816,57816.0
13.0,3,49,1.0
15.0,1,18,18.0
16.0,2,187,93.5
18.0,1,17,17.0
19.0,1,124,124.0
22.0,1,4429,4429.0
23.0,4,28,0.0
27.0,1,3329,3329.0
29.0,3,6,2.0
31.0,1,1,1.0
33.0,2,16433,8216.5
34.0,1,2,2.0
36.0,1,1643,1643.0
39.0,1,160,160.0
40.0,2,35848,17924.0
45.0,2,41992,20996.0
52.0,2,12,6.0
53.0,1,0,0.0
57.0,2,178,89.0
60.0,1,126333,126333.0
