source_platform,author_handle,title,text_snippet,published_at,days,phase,views,likes,engagement,content_category,author_type,url
youtube,Fireship,Claude crushed GPT-4o… and 13 other tech stories you missed in June,Let's take a look at 13 new developments and controversies that happened in the technology industry in June 2024. Find o,2024-06-30T15:11:19Z,10.0,Amplification,1172018.0,55204,57816,other,unknown,https://www.youtube.com/watch?v=FhqNN1LykWU
youtube,Lost N Found,Claude Vs Speaking &amp; Water,Promo code for 10K bucks: LNF Download One State to your phone (android/ios): https://onestate.onelink.me/nWr0/lnf ...,2024-06-22T15:09:04Z,2.0,Launch Spike,884518.0,16138,17843,other,unknown,https://www.youtube.com/watch?v=j2cmqfGvtPs
youtube,Platzi,Anthropic Claude vs ChatGPT ¿cuál es mejor para trabajar?,Nuevo Curso de ChatGPT para Empresas: https://platzi.com/l/chatgpt_yt/ ------------------------------------- Ponemos a p,2024-06-29T00:14:56Z,9.0,Amplification,288700.0,7544,7788,comparison_vs_chatgpt,unknown,https://www.youtube.com/watch?v=82yaSvi1ZDA
youtube,Varun Mayya,Claude 3.5 Just Beat GPT-4o &amp; You can try it for free!,,2024-06-21T15:57:47Z,1.0,Launch Spike,83584.0,5511,5561,claude_features,unknown,https://www.youtube.com/watch?v=EhYyytDDu2k
youtube,Patrick Storm,Claude 3.5 Sonnet vs GPT-4o: Side-by-Side Tests,The ultimate showdown between two of the most advanced large language models on the market: OpenAI's GPT-4o and ...,2024-06-28T07:05:07Z,8.0,Amplification,132731.0,2730,3019,claude_features,unknown,https://www.youtube.com/watch?v=9EVaKJzoPQ0
youtube,LEAD,Build a business website with $0 budget using AI (Claude.ai),Learn how to build a professional business website for free using AI! This quick guide shows you how to leverage Claude.,2024-06-23T05:45:32Z,3.0,Launch Spike,160009.0,2603,2631,tutorial_how_to,developer,https://www.youtube.com/watch?v=HdG9McEr3TY
youtube,The AI Advantage,New Claude 3.5 Sonnet is Better Than GPT-4o,"Anthropic surprised everyone by releasing Claude 3.5 Sonnet, a multimodal AI that beats even GPT-4o in a ton of categori",2024-06-21T21:06:01Z,1.0,Launch Spike,73781.0,2177,2394,claude_features,creator_blogger,https://www.youtube.com/watch?v=L3z40ClfMls
youtube,Skill Leap AI,GPT-4o VS Claude 3.5 Sonnet - Which AI is #1?,Join the fastest-growing AI education platform & Instantly access 20+ top courses in AI: Start with a free trial: ...,2024-06-22T19:57:28Z,2.0,Launch Spike,60233.0,1327,1498,claude_features,creator_blogger,https://www.youtube.com/watch?v=_HYfYLm5QEA
youtube,The AI Advantage,Is Claude Really Better Than ChatGPT Now?,https://claude.ai/ #ai #chatgpt #claude --------------------------------------------------------------------------------,2024-06-24T18:51:46Z,4.0,Amplification,55654.0,1383,1407,comparison_vs_chatgpt,creator_blogger,https://www.youtube.com/watch?v=71BCxdFSkgs
youtube,Anthropic,Claude 3.5 Sonnet as a writing partner,"Claude 3.5 Sonnet sets new industry benchmarks for graduate-level reasoning (GPQA), undergraduate-level knowledge (MMLU)",2024-06-20T14:06:18Z,0.0,Launch Spike,28668.0,559,597,claude_features,company,https://www.youtube.com/watch?v=-dWfl7Dhb0o
youtube,NeuroMind,Новий Claude 3.5 Sonnet кращий за GPT-4o,"Привіт! Anthropic презентували нову модель Claude 3.5 Sonnet. Модель виявилася непогана, можливо, навіть краща, ніж ...",2024-06-22T13:45:04Z,2.0,Launch Spike,1329.0,125,146,claude_features,unknown,https://www.youtube.com/watch?v=xyCO3gK8nZQ
youtube,SmartTech Synergy,Claude 3.5 Sonnet vs GPT-4o | Nowy najlepszy LLM?,Testujemy Claude 3.5 Sonet - najnowszy model AI od Anthropic. - czy naprawdę jest lepszy od GPT-4? - jakie są jego realn,2024-06-27T14:00:16Z,7.0,Amplification,2395.0,93,106,claude_features,developer,https://www.youtube.com/watch?v=JemUSG5OUUk
youtube,David Hendrickson,💪 Claude 3.5 Sonnet Practical Use Cases are On Another Level. Has GPT4o Beat for Sure.,,2024-06-26T19:40:33Z,6.0,Amplification,3625.0,86,89,claude_features,unknown,https://www.youtube.com/watch?v=-QdYQ3v0MxE
youtube,Everyday AI,Claude 3.5 Sonnet vs GPT-4o Data Analysis showdown: Which LLM can crunch numbers better?,"In this head-to-head battle, we're pitting two of the most advanced large language models against each other: Claude 3.5",2024-07-03T15:26:34Z,13.0,Amplification,1507.0,36,48,claude_features,developer,https://www.youtube.com/watch?v=i0qzy5I9Lf0
youtube,Deepak Jose,Claude 3.5 beats ChatGpt 4o | Claude Sonnet is the new king of AI | #claude #sonnet #chatgpt #gpt4,,2024-06-25T14:23:55Z,5.0,Amplification,2987.0,38,39,claude_features,unknown,https://www.youtube.com/watch?v=Pf5aDcoSgJw
youtube,Faultyogi,Anthropic&#39;s Claude 3.5 Sonnet Beats GPT- 4o and Opus | AI News,"Anthropic has introduced Claude 3.5 Sonnet, a state-of-the-art vision model that surpasses Claude 3 Opus on standard vis",2024-06-22T13:31:00Z,2.0,Launch Spike,41.0,4,10,claude_features,creator_blogger,https://www.youtube.com/watch?v=ZLvltskPWNY
youtube,Tony AI Champ,Claude Sonnet 3.5 VS GPT-4o. Part 1,,2024-06-25T16:19:41Z,5.0,Amplification,423.0,6,7,claude_features,creator_blogger,https://www.youtube.com/watch?v=UqtM7QiK47w
youtube,Nowasys,GPT-4o vs Claude 3.5 Sonnet: AI Showdown! | Nowasys,"In this AI showdown video, we compare the latest version of Claude 3.5 Sonnet against the powerful GPT-4o model. Watch a",2024-06-28T12:30:24Z,8.0,Amplification,24.0,1,3,claude_features,unknown,https://www.youtube.com/watch?v=_CaLGIlbl1Q
youtube,Anika Technologies,"One year after GPT-4’s release, Anthropic&#39;s latest AI model has taken the crown! 👑","One year after GPT-4's release, Anthropic's latest AI model has taken the crown! Introducing Claude 3.5 Sonnet: a ...",2024-06-24T13:55:04Z,4.0,Amplification,29.0,1,2,claude_features,creator_blogger,https://www.youtube.com/watch?v=kzVdqX93W-k
youtube,♾️ sev geraskin,Claude 3.5 Sonnet vs GPT-4o Battle Royale,"Anthropic released Claude 3.5 Sonnet, which claims to beat GPT4o in benchmarks such as HumanEval, and that's boring.",2024-06-23T05:16:54Z,3.0,Launch Spike,18.0,2,2,claude_features,unknown,https://www.youtube.com/watch?v=6ZeDfyp4hI4
